Tick,Throttle,Speed,Current,Voltage,Speed
35513,0, 0, 0, 0, 5682
35563,0, 0, 0, 0, 5682
35613,0, 0, 0, 0, 5682
35663,0, 0, 0, 0, 5682
35713,0, 0, 0, 0, 5682
35765,0, 0, 0, 0, 5682
35815,0, 0, 0, 0, 5682
35865,0, 0, 0, 0, 5682
35915,0, 0, 0, 0, 5682
35965,0, 0, 0, 0, 5682
36017,0, 0, 0, 0, 5682
36067,0, 0, 0, 0, 5682
36117,0, 0, 0, 0, 5682
36167,0, 0, 0, 0, 5682
36217,0, 0, 0, 0, 5682
36269,0, 0, 0, 0, 5682
36319,0, 0, 0, 0, 5682
36369,0, 0, 0, 0, 5682
36421,0, 0, 0, 0, 5682
36471,0, 0, 0, 0, 5682
36528,0, 0, 0, 0, 5682
36578,0, 0, 0, 0, 5682
36628,0, 0, 0, 0, 5682
36678,0, 0, 0, 0, 5682
36728,0, 0, 0, 0, 5682
36781,0, 0, 0, 0, 5682
36831,0, 0, 0, 0, 5682
36881,0, 0, 0, 0, 5682
36931,0, 0, 0, 0, 5682
36981,0, 0, 0, 0, 5682
37033,0, 0, 0, 0, 5682
37083,0, 0, 0, 0, 5682
37133,0, 0, 0, 0, 5682
37183,0, 0, 0, 0, 5682
37233,0, 0, 0, 0, 5682
37285,0, 0, 0, 0, 5682
37335,0, 0, 0, 0, 5682
37385,0, 0, 0, 0, 5682
37435,0, 0, 0, 0, 5682
37485,0, 0, 0, 0, 5682
37538,0, 0, 0, 0, 5682
37588,0, 0, 0, 0, 5682
37638,0, 0, 0, 0, 5682
37688,0, 0, 0, 0, 5682
37738,0, 0, 0, 0, 5682
37790,0, 0, 0, 0, 5682
37840,0, 0, 0, 0, 5682
37890,0, 0, 0, 0, 5682
37940,0, 0, 0, 0, 5682
37990,0, 0, 0, 0, 5682
38042,0, 0, 0, 0, 5682
38092,0, 0, 0, 0, 5682
38142,0, 0, 0, 0, 5682
38192,0, 0, 0, 0, 5682
38242,0, 0, 0, 0, 5682
38294,0, 0, 0, 0, 5682
38344,0, 0, 0, 0, 5682
38394,0, 0, 0, 0, 5682
38444,0, 0, 0, 0, 5682
38494,0, 0, 0, 0, 5682
38548,0, 0, 0, 0, 5682
38598,0, 0, 0, 0, 5682
38649,0, 0, 0, 0, 5682
38699,0, 0, 0, 0, 5682
38749,0, 0, 0, 0, 5682
38801,0, 0, 0, 0, 5682
38853,0, 0, 0, 0, 5682
